GEOID,community
17031161000,IRVING PARK
17031814000,Cicero
17031810400,Park Ridge
17031814500,Cicero
17031020802,WEST RIDGE
17031806001,Niles
17031670500,WEST ENGLEWOOD
17031241100,WEST TOWN
17031832100,LAKE VIEW
17031440600,CHATHAM
17031827902,Lansing
17031160100,IRVING PARK
17031251100,AUSTIN
17031221000,LOGAN SQUARE
17031816900,Bellwood
17031040201,LINCOLN SQUARE
17031151001,PORTAGE PARK
17031630400,GAGE PARK
17031839900,BRIDGEPORT
17031804309,Streamwood
17031241500,WEST TOWN
17031590600,MCKINLEY PARK
17031110200,JEFFERSON PARK
17031420700,WOODLAWN
17031570400,ARCHER HEIGHTS
17031060400,LAKE VIEW
17031806700,Skokie
17031030900,EDGEWATER
17031811900,River Forest
17031818700,Brookfield
17031490800,ROSELAND
17031310200,LOWER WEST SIDE
17031060800,LAKE VIEW
17031063100,LAKE VIEW
17031730400,WASHINGTON HEIGHTS
17031812700,Oak Park
17031420400,WOODLAWN
17031060300,LAKE VIEW
17031140400,ALBANY PARK
17031807300,Skokie
17031440201,CHATHAM
17031750300,MORGAN PARK
17031061800,LAKE VIEW
17031062400,LAKE VIEW
17031700301,ASHBURN
17031824400,Crestwood
17031530502,WEST PULLMAN
17031818900,La Grange Park
17031834300,AVALON PARK
17031251000,AUSTIN
17031829302,Chicago Heights
17031980100,GARFIELD RIDGE
17031051100,NORTH CENTER
17031252000,AUSTIN
17031010502,ROGERS PARK
17031430900,SOUTH SHORE
17031431302,SOUTH SHORE
17031480200,CALUMET HEIGHTS
17031320400,LOOP
17031830800,LINCOLN SQUARE
17031050300,NORTH CENTER
17031050800,NORTH CENTER
17031821800,Evergreen Park
17031030300,EDGEWATER
17031842500,GREATER GRAND CROSSING
17031250800,AUSTIN
17031815800,Brookfield
17031805802,Park Ridge
17031805902,Park Ridge
17031020400,WEST RIDGE
17031804806,Hanover Park
17031834000,ROSELAND
17031710300,AUBURN GRESHAM
17031809900,Evanston
17031825304,Tinley Park
17031611100,NEW CITY
17031811302,Melrose Park
17031832300,LOGAN SQUARE
17031840100,BRIDGEPORT
17031220702,LOGAN SQUARE
17031190601,BELMONT CRAGIN
17031671300,WEST ENGLEWOOD
17031271800,EAST GARFIELD PARK
17031825504,Hazel Crest
17031671900,WEST ENGLEWOOD
17031271500,EAST GARFIELD PARK
17031070500,LINCOLN PARK
17031818100,Westchester
17031340500,ARMOUR SQUARE
17031808002,Lincolnwood
17031825200,Oak Forest
17031809700,Evanston
17031805701,Park Ridge
17031813801,Cicero
17031240800,WEST TOWN
17031241600,WEST TOWN
17031691300,GREATER GRAND CROSSING
17031190200,BELMONT CRAGIN
17031691400,GREATER GRAND CROSSING
17031827400,Harvey
17031062000,LAKE VIEW
17031829402,Park Forest
17031710900,AUBURN GRESHAM
17031540101,RIVERDALE
17031730100,WASHINGTON HEIGHTS
17031031100,UPTOWN
17031770800,Schiller Park
17031810900,Elmwood Park
17031190402,BELMONT CRAGIN
17031220300,LOGAN SQUARE
17031221600,LOGAN SQUARE
17031819802,Western Springs
17031340600,ARMOUR SQUARE
17031400300,WASHINGTON PARK
17031829000,Chicago Heights
17031838300,NEAR NORTH SIDE
17031020200,WEST RIDGE
17031580200,BRIGHTON PARK
17031260800,WEST GARFIELD PARK
17031805301,Morton Grove
17031821101,Burbank
17031561100,GARFIELD RIDGE
17031580502,BRIGHTON PARK
17031820000,Hinsdale
17031803611,Palatine
17031834400,WOODLAWN
17031491400,ROSELAND
17031060200,LAKE VIEW
17031461000,SOUTH CHICAGO
17031802608,Prospect Heights
17031120300,FOREST GLEN
17031242200,WEST TOWN
17031090300,EDISON PARK
17031210400,AVONDALE
17031835100,GAGE PARK
17031081800,NEAR NORTH SIDE
17031660301,CHICAGO LAWN
17031063400,LAKE VIEW
17031301600,SOUTH LAWNDALE
17031843100,NORTH LAWNDALE
17031410500,HYDE PARK
17031410600,HYDE PARK
17031410800,HYDE PARK
17031171000,DUNNING
17031812801,Oak Park
17031431301,SOUTH SHORE
17031660302,CHICAGO LAWN
17031240300,WEST TOWN
17031831000,LOGAN SQUARE
17031815000,Berwyn
17031818200,Westchester
17031826500,Dolton
17031030500,EDGEWATER
17031833100,NEAR WEST SIDE
17031826600,Riverdale
17031827804,South Holland
17031841400,NORTH LAWNDALE
17031292500,NORTH LAWNDALE
17031252201,AUSTIN
17031843600,GRAND BOULEVARD
17031802607,Prospect Heights
17031430400,SOUTH SHORE
17031040600,LINCOLN SQUARE
17031824701,Midlothian
17031290900,NORTH LAWNDALE
17031221100,LOGAN SQUARE
17031611400,NEW CITY
17031050900,NORTH CENTER
17031815600,North Riverside
17031250400,AUSTIN
17031836500,OAKLAND
17031823602,Crestwood
17031160300,IRVING PARK
17031310300,LOWER WEST SIDE
17031031700,UPTOWN
17031071300,LINCOLN PARK
17031806102,Des Plaines
17031827805,South Holland
17031242000,WEST TOWN
17031804705,Hoffman Estates
17031071000,LINCOLN PARK
17031824702,Midlothian
17031805901,Des Plaines
17031081402,NEAR NORTH SIDE
17031420800,WOODLAWN
17031570300,ARCHER HEIGHTS
17031840000,BRIDGEPORT
17031630100,GAGE PARK
17031823002,Chicago Ridge
17031823101,Worth
17031310800,LOWER WEST SIDE
17031490902,ROSELAND
17031241300,WEST TOWN
17031241400,WEST TOWN
17031430300,SOUTH SHORE
17031221400,LOGAN SQUARE
17031230400,HUMBOLDT PARK
17031020902,WEST RIDGE
17031828402,Homewood
17031031502,UPTOWN
17031062500,LAKE VIEW
17031031400,UPTOWN
17031020302,WEST RIDGE
17031831900,LAKE VIEW
17031809200,Evanston
17031822801,Oak Lawn
17031813701,Cicero
17031813400,Cicero
17031430500,SOUTH SHORE
17031160700,IRVING PARK
17031381800,GRAND BOULEVARD
17031390100,KENWOOD
17031690400,GREATER GRAND CROSSING
17031805109,Arlington Heights
17031801603,Glenview
17031824300,Robbins
17031811200,River Grove
17031030604,EDGEWATER
17031809600,Evanston
17031420500,WOODLAWN
17031190602,BELMONT CRAGIN
17031820400,Summit
17031813302,Cicero
17031837400,EAST GARFIELD PARK
17031711000,AUBURN GRESHAM
17031836000,GRAND BOULEVARD
17031681100,ENGLEWOOD
17031252101,AUSTIN
17031063200,LAKE VIEW
17031351400,DOUGLAS
17031700200,ASHBURN
17031671800,WEST ENGLEWOOD
17031672000,WEST ENGLEWOOD
17031440202,CHATHAM
17031220902,LOGAN SQUARE
17031810000,Evanston
17031242400,WEST TOWN
17031190701,BELMONT CRAGIN
17031610800,NEW CITY
17031720600,BEVERLY
17031031000,UPTOWN
17031380500,GRAND BOULEVARD
17031500200,PULLMAN
17031081403,NEAR NORTH SIDE
17031301100,SOUTH LAWNDALE
17031670400,WEST ENGLEWOOD
17031010501,ROGERS PARK
17031806501,Des Plaines
17031020602,WEST RIDGE
17031081600,NEAR NORTH SIDE
17031230700,HUMBOLDT PARK
17031200402,HERMOSA
17031720300,BEVERLY
17031720500,BEVERLY
17031570200,ARCHER HEIGHTS
17031140601,ALBANY PARK
17031261000,WEST GARFIELD PARK
17031301803,SOUTH LAWNDALE
17031830100,Park Forest
17031817400,Maywood
17031062700,LAKE VIEW
17031720100,BEVERLY
17031770602,Des Plaines
17031020701,WEST RIDGE
17031430600,SOUTH SHORE
17031831400,AUSTIN
17031210700,AVONDALE
17031140701,ALBANY PARK
17031170700,DUNNING
17031839200,DOUGLAS
17031490901,ROSELAND
17031813000,Oak Park
17031816401,Melrose Park
17031400400,WASHINGTON PARK
17031804608,Schaumburg
17031681300,ENGLEWOOD
17031640300,CLEARING
17031060500,LAKE VIEW
17031063301,LAKE VIEW
17031803612,Arlington Heights
17031801300,Wilmette
17031051200,NORTH CENTER
17031804706,Hoffman Estates
17031390400,KENWOOD
17031820902,Burbank
17031291600,NORTH LAWNDALE
17031110300,JEFFERSON PARK
17031062600,LAKE VIEW
17031381900,GRAND BOULEVARD
17031824108,Orland Hills
17031301200,SOUTH LAWNDALE
17031251700,AUSTIN
17031805002,Mount Prospect
17031140500,ALBANY PARK
17031812200,Oak Park
17031815900,Forest Park
17031803200,Arlington Heights
17031802900,Arlington Heights
17031823806,Worth
17031280800,NEAR WEST SIDE
17031836400,OAKLAND
17031530300,WEST PULLMAN
17031811600,Schiller Park
17031081500,NEAR NORTH SIDE
17031030702,EDGEWATER
17031826402,Dolton
17031080100,NEAR NORTH SIDE
17031530400,WEST PULLMAN
17031810600,Harwood Heights
17031460600,SOUTH CHICAGO
17031350400,DOUGLAS
17031590700,MCKINLEY PARK
17031806600,Des Plaines
17031611500,NEW CITY
17031380700,GRAND BOULEVARD
17031823605,Palos Heights
17031081401,NEAR NORTH SIDE
17031242500,WEST TOWN
17031804610,Schaumburg
17031420600,WOODLAWN
17031813200,Oak Park
17031801100,Wilmette
17031821900,Evergreen Park
17031640700,CLEARING
17031720400,BEVERLY
17031801607,Glenview
17031380200,GRAND BOULEVARD
17031241200,WEST TOWN
17031730500,WASHINGTON HEIGHTS
17031805702,Park Ridge
17031190100,BELMONT CRAGIN
17031210900,AVONDALE
17031681000,ENGLEWOOD
17031230800,HUMBOLDT PARK
17031260200,WEST GARFIELD PARK
17031270500,EAST GARFIELD PARK
17031271300,EAST GARFIELD PARK
17031750400,MORGAN PARK
17031062200,LAKE VIEW
17031190702,BELMONT CRAGIN
17031530600,WEST PULLMAN
17031808001,Lincolnwood
17031837100,EAST GARFIELD PARK
17031611600,NEW CITY
17031340300,ARMOUR SQUARE
17031804808,Schaumburg
17031812302,Oak Park
17031031300,UPTOWN
17031839800,BRIDGEPORT
17031812600,Oak Park
17031150800,PORTAGE PARK
17031770400,Elk Grove Village
17031611700,NEW CITY
17031670800,WEST ENGLEWOOD
17031081700,NEAR NORTH SIDE
17031020801,WEST RIDGE
17031230500,HUMBOLDT PARK
17031430101,SOUTH SHORE
17031816300,Melrose Park
17031835600,FULLER PARK
17031804104,Hoffman Estates
17031240900,WEST TOWN
17031611000,NEW CITY
17031812100,Oak Park
17031840200,BRIDGEPORT
17031220601,LOGAN SQUARE
17031843300,NORTH LAWNDALE
17031821002,Burbank
17031351500,DOUGLAS
17031221300,LOGAN SQUARE
17031802801,Arlington Heights
17031825801,Calumet City
17031822802,Oak Lawn
17031221500,LOGAN SQUARE
17031813100,Oak Park
17031251600,AUSTIN
17031210602,AVONDALE
17031836600,HUMBOLDT PARK
17031816600,Stone Park
17031640800,CLEARING
17031690300,GREATER GRAND CROSSING
17031813301,Cicero
17031813802,Cicero
17031808900,Evanston
17031151002,PORTAGE PARK
17031611300,NEW CITY
17031301802,SOUTH LAWNDALE
17031580400,BRIGHTON PARK
17031841700,SOUTH LAWNDALE
17031160602,IRVING PARK
17031822000,Hometown
17031061000,LAKE VIEW
17031280400,NEAR WEST SIDE
17031680500,ENGLEWOOD
17031828100,Lansing
17031140100,ALBANY PARK
17031802610,Mount Prospect
17031140602,ALBANY PARK
17031210601,AVONDALE
17031710600,AUBURN GRESHAM
17031243200,WEST TOWN
17031062100,LAKE VIEW
17031310500,LOWER WEST SIDE
17031231200,HUMBOLDT PARK
17031825700,Burnham
17031411200,HYDE PARK
17031800400,Winnetka
17031400800,WASHINGTON PARK
17031340400,ARMOUR SQUARE
17031010600,ROGERS PARK
17031580100,BRIGHTON PARK
17031150502,PORTAGE PARK
17031380100,GRAND BOULEVARD
17031830700,UPTOWN
